Wall time,Step,Value
1638414761.7553153,19000,0.16200000047683716
1638414764.5989356,25000,0.20200000703334808
1638414772.018563,41000,0.19499999284744263
1638414772.950659,43000,0.1770000010728836
1638414774.3596852,46000,0.05400000140070915
1638414784.9398832,57000,0.14399999380111694
1638414801.9575274,72000,0.10499999672174454
1638414805.3621185,75000,0.47699999809265137
1638414826.5060534,95000,0.18299999833106995
1638414839.151842,107000,0.07100000232458115
1638414860.170044,127000,0.19499999284744263
1638414891.9161024,156000,0.2370000034570694
1638414895.316422,159000,0.05700000002980232
1638414905.683158,168000,0.1889999955892563
1638414924.1016088,184000,0.4440000057220459
1638414926.3813865,186000,0.2160000056028366
1638414978.2630286,230000,0.23999999463558197
1638414983.6404316,235000,0.1770000010728836
1638415001.4952662,250000,0.23399999737739563
1638415008.5328424,256000,0.3569999933242798
1638415014.4601908,261000,0.33899998664855957
1638415022.5398617,268000,0.2370000034570694
1638415028.9954987,274000,0.19200000166893005
1638415067.3733366,309000,0.2070000022649765
1638415069.684109,311000,0.33000001311302185
1638415078.9859238,319000,0.18000000715255737
1638415103.9138103,340000,0.5759999752044678
1638415113.6387494,348000,0.3479999899864197
1638415136.1193097,368000,0.5139999985694885
1638415198.1328533,422000,0.7979999780654907
1638415199.2490473,423000,0.7379999756813049
1638415218.5031343,440000,1.0019999742507935
1638415221.9513724,443000,1.0230000019073486
1638415225.2797902,446000,1.4450000524520874
1638415242.5358434,461000,1.034999966621399
1638415246.0959253,464000,0.7919999957084656
1638415247.398836,465000,1.3200000524520874
1638415259.8834386,475000,0.609000027179718
1638415283.2614262,494000,0.9210000038146973
1638415309.006943,515000,1.031999945640564
1638415329.1081147,532000,1.4759999513626099
1638415335.2889755,537000,1.2960000038146973
1638415368.715559,564000,2.510999917984009
1638415380.8975866,574000,1.6410000324249268
1638415388.4640596,580000,2.361999988555908
1638415397.3185256,587000,2.6559998989105225
1638415398.583006,588000,3.187000036239624
1638415440.424683,621000,2.4570000171661377
1638415442.8900945,623000,3.1989998817443848
1638415457.7159119,635000,2.4539999961853027
1638415466.7139351,642000,2.7690000534057617
1638415468.0455194,643000,2.7260000705718994
1638415470.5337577,645000,3.062999963760376
1638415474.3246083,648000,2.703000068664551
1638415476.8582487,650000,2.2300000190734863
1638415491.898987,662000,2.861999988555908
1638415504.6414351,672000,3.1559998989105225
1638415558.5847387,715000,4.13700008392334
1638415568.7134838,723000,3.4719998836517334
1638415579.1132267,731000,3.986999988555908
1638415591.0037801,740000,3.8529999256134033
1638415607.7483609,753000,4.49399995803833
1638415612.9254618,757000,4.482999801635742
1638415624.4860818,766000,3.696000099182129
1638415629.7761867,770000,3.5759999752044678
1638415632.5852637,772000,3.5940001010894775
1638415635.0794094,774000,3.009999990463257
1638415643.8936243,781000,2.7190001010894775
1638415649.9934268,786000,3.7899999618530273
1638415652.4426634,788000,3.493000030517578
1638415658.9323254,793000,4.01200008392334
1638415661.5289705,795000,3.4489998817443848
1638415666.6388876,799000,3.6540000438690186
1638415671.9962363,803000,4.314000129699707
1638415679.824745,809000,4.195000171661377
1638415681.0715663,810000,3.812000036239624
1638415710.2258043,833000,3.003999948501587
1638415715.2888246,837000,2.380000114440918
1638415757.5308616,870000,3.1740000247955322
1638415766.5029714,877000,2.868000030517578
1638415774.229343,883000,1.8839999437332153
1638415792.1553988,897000,1.6920000314712524
1638415797.3045807,901000,2.99399995803833
1638415806.1326177,908000,1.9049999713897705
1638415808.7924378,910000,3.7790000438690186
1638415819.0046604,918000,2.1510000228881836
1638415836.9940073,932000,1.2300000190734863
1638415838.4316168,933000,1.7699999809265137
1638415851.1056085,943000,2.367000102996826
1638415855.1156626,946000,4.250999927520752
1638415866.4679222,955000,4.436999797821045
1638415876.2169192,963000,2.0999999046325684
1638415887.4427938,972000,0.3479999899864197
1638415888.7701445,973000,1.1890000104904175
1638415896.3449533,979000,0.375
1638415897.5788877,980000,0.11999999731779099
1638415904.1820586,985000,3.3329999446868896
1638415927.069951,1003000,3.252000093460083
1638415930.8680873,1006000,2.7860000133514404
1638415942.2466373,1015000,5.270999908447266
1638415981.7658572,1045000,4.500999927520752
1638415998.5674922,1058000,4.989999771118164
1638416006.3783338,1064000,4.581999778747559
1638416010.2673988,1067000,4.811999797821045
1638416012.8732903,1069000,5.684999942779541
1638416018.0217907,1073000,4.770999908447266
1638416025.7967546,1079000,5.361000061035156
1638416032.294754,1084000,5.810999870300293
1638416045.7976897,1094000,5.052000045776367
1638416053.3978884,1100000,3.8269999027252197
1638416059.9292815,1105000,3.7790000438690186
1638416072.7780178,1115000,5.835000038146973
1638416127.0625226,1157000,2.440000057220459
1638416132.087195,1161000,1.2869999408721924
1638416133.2891028,1162000,0.2619999945163727
1638416134.5482826,1163000,0.050999999046325684
1638416157.5847547,1181000,0.14100000262260437
1638416174.1975708,1194000,3.2190001010894775
1638416191.0176356,1207000,5.9070000648498535
1638416224.8404615,1233000,4.386000156402588
1638416240.474276,1245000,4.7129998207092285
1638416255.198746,1256000,5.303999900817871
1638416259.1674514,1259000,5.184000015258789
1638416263.0486796,1262000,3.8940000534057617
1638416289.549308,1282000,5.390999794006348
1638416297.3072727,1288000,6.216000080108643
1638416306.469106,1295000,5.968999862670898
1638416314.4522035,1301000,5.811999797821045
1638416335.4918406,1317000,5.98799991607666
1638416339.488377,1320000,6.372000217437744
1638416354.0853522,1331000,5.9070000648498535
1638416358.0515532,1334000,6.366000175476074
1638416362.099575,1337000,6.3379998207092285
1638416363.4129071,1338000,5.202000141143799
1638416427.1627924,1386000,5.769000053405762
1638416431.0547473,1389000,2.2980000972747803
1638416434.841306,1392000,2.440999984741211
1638416436.106344,1393000,0.6119999885559082
1638416464.7972748,1415000,2.377000093460083
1638416480.5042834,1427000,2.734999895095825
1638416493.7070475,1437000,5.254000186920166
1638416498.9541614,1441000,5.1529998779296875
1638416532.1413357,1466000,5.609000205993652
1638416533.4784486,1467000,6.401000022888184
1638416548.1398253,1478000,5.8429999351501465
1638416558.8252957,1486000,5.478000164031982
1638416564.0793078,1490000,5.307000160217285
1638416566.7336369,1492000,5.7179999351501465
1638416608.8063138,1524000,3.1489999294281006
1638416614.1106832,1528000,3.9749999046325684
1638416646.647542,1553000,6.0
1638416667.5486324,1569000,2.5889999866485596
1638416668.8569002,1570000,2.3369998931884766
1638416688.8794832,1585000,5.763000011444092
1638416694.2204442,1589000,5.7210001945495605
1638416714.581966,1605000,2.5859999656677246
1638416715.901525,1606000,3.1619999408721924
1638416745.8467681,1628000,2.1659998893737793
1638416752.2762692,1633000,3.2309999465942383
1638416758.81685,1638000,4.133999824523926
1638416762.680248,1641000,3.191999912261963
1638416769.3413353,1646000,3.434999942779541
1638416773.4538279,1649000,4.349999904632568
1638416789.2942688,1661000,5.414999961853027
1638416799.9323013,1669000,5.882999897003174
1638416809.1333938,1676000,3.696000099182129
1638416818.4374623,1683000,5.3520002365112305
1638416829.8542924,1692000,5.775000095367432
1638416835.0912085,1696000,6.111000061035156
1638416837.725426,1698000,5.683000087738037
1638416840.4408674,1700000,5.835000038146973
1638416844.3935058,1703000,5.666999816894531
1638416853.5990279,1710000,4.639999866485596
