Wall time,Step,Value
1638543356.768701,19000,0.1509999930858612
1638543358.1523728,25000,0.2800000011920929
1638543361.8658216,41000,0.11900000274181366
1638543362.3134615,43000,0.17599999904632568
1638543362.9933374,46000,0.16099999845027924
1638543369.474009,57000,0.33500000834465027
1638543381.3448255,72000,0.3059999942779541
1638543383.7327397,75000,0.296999990940094
1638543400.4220603,95000,0.23499999940395355
1638543409.9229488,107000,0.3540000021457672
1638543426.434468,127000,0.37700000405311584
1638543450.6439419,156000,0.5120000243186951
1638543453.2849565,159000,0.5080000162124634
1638543461.1064122,168000,0.48500001430511475
1638543474.9996922,184000,0.5220000147819519
1638543476.8133912,186000,0.39800000190734863
1638543517.8228314,230000,0.7770000100135803
1638543522.544132,235000,0.8659999966621399
1638543535.833057,250000,0.7200000286102295
1638543540.9021215,256000,0.4490000009536743
1638543545.0131297,261000,0.671999990940094
1638543550.9501016,268000,0.7820000052452087
1638543556.1064634,274000,0.7670000195503235
1638543586.4897866,309000,0.5370000004768372
1638543588.1920366,311000,0.6980000138282776
1638543595.1077566,319000,0.8930000066757202
1638543613.575087,340000,0.8709999918937683
1638543620.5197833,348000,1.0049999952316284
1638543638.0690496,368000,1.0850000381469727
1638543686.217423,422000,1.149999976158142
1638543687.1440709,423000,0.8989999890327454
1638543702.1605253,440000,1.1089999675750732
1638543704.777409,443000,1.3359999656677246
1638543707.5051215,446000,1.3899999856948853
1638543721.1350958,461000,1.13100004196167
1638543723.8978798,464000,1.1069999933242798
1638543724.8073833,465000,1.1959999799728394
1638543734.0578897,475000,1.6230000257492065
1638543751.2077434,494000,1.2740000486373901
1638543770.7723746,515000,1.5640000104904175
1638543786.7868695,532000,1.5679999589920044
1638543791.5339727,537000,1.4119999408721924
1638543817.116914,564000,1.3140000104904175
1638543826.568182,574000,1.7869999408721924
1638543832.1236424,580000,1.8530000448226929
1638543838.6164646,587000,1.8450000286102295
1638543839.5333807,588000,1.7419999837875366
1638543870.789381,621000,1.6239999532699585
1638543872.6430223,623000,1.7029999494552612
1638543884.4175227,635000,2.0880000591278076
1638543891.1113162,642000,2.127000093460083
1638543892.0731034,643000,1.9290000200271606
1638543893.983831,645000,1.9040000438690186
1638543896.8168588,648000,1.937999963760376
1638543898.7563453,650000,1.8489999771118164
1638543910.2917552,662000,1.9579999446868896
1638543919.8720374,672000,1.6920000314712524
1638543962.2903068,715000,2.3580000400543213
1638543970.2402775,723000,2.1070001125335693
1638543978.07685,731000,1.8949999809265137
1638543986.8853686,740000,2.065999984741211
1638543999.7442148,753000,2.184999942779541
1638544003.690181,757000,2.453000068664551
1638544012.6991022,766000,2.263000011444092
1638544016.7249053,770000,2.447000026702881
1638544018.7433765,772000,2.4019999504089355
1638544020.7242954,774000,2.6429998874664307
1638544027.8704708,781000,2.1689999103546143
1638544033.028898,786000,2.443000078201294
1638544035.101158,788000,2.5269999504089355
1638544040.2763612,793000,2.549999952316284
1638544042.3270004,795000,2.5179998874664307
1638544046.2796836,799000,2.937000036239624
1638544050.42346,803000,2.565000057220459
1638544056.722199,809000,2.122999906539917
1638544057.7575302,810000,2.4000000953674316
1638544081.3234,833000,2.805000066757202
1638544085.3784356,837000,2.691999912261963
1638544119.3724725,870000,2.9730000495910645
1638544126.6731508,877000,2.994999885559082
1638544132.9913895,883000,2.9860000610351562
1638544147.444812,897000,3.009999990463257
1638544151.6668782,901000,2.941999912261963
1638544158.9486027,908000,3.2850000858306885
1638544161.053309,910000,3.555000066757202
1638544169.6959288,918000,3.4519999027252197
1638544184.827578,932000,3.2880001068115234
1638544185.9202516,933000,3.1989998817443848
1638544196.4427762,943000,3.5480000972747803
1638544199.5117736,946000,3.4059998989105225
1638544209.4757137,955000,3.2890000343322754
1638544218.2336626,963000,3.7290000915527344
1638544227.73756,972000,3.6040000915527344
1638544228.7965002,973000,3.803999900817871
1638544235.1059165,979000,3.736999988555908
1638544236.1457684,980000,3.9719998836517334
1638544241.7838159,985000,3.9100000858306885
1638544261.1772885,1003000,3.803999900817871
1638544264.4185746,1006000,3.8399999141693115
1638544274.3760002,1015000,4.0229997634887695
1638544307.204694,1045000,3.8399999141693115
1638544321.7127087,1058000,3.871999979019165
1638544328.3297722,1064000,3.9809999465942383
1638544331.6437929,1067000,3.7739999294281006
1638544333.7998707,1069000,3.9170000553131104
1638544338.0976574,1073000,3.9000000953674316
1638544344.6160715,1079000,3.7709999084472656
1638544350.2498837,1084000,3.999000072479248
1638544361.9078727,1094000,3.9040000438690186
1638544368.6877525,1100000,3.6679999828338623
1638544374.2989392,1105000,3.9600000381469727
1638544385.3965428,1115000,4.242000102996826
1638544431.021351,1157000,4.020999908447266
1638544435.3575447,1161000,3.941999912261963
1638544436.4633584,1162000,3.6440000534057617
1638544437.6017249,1163000,3.671999931335449
1638544457.254118,1181000,3.9539999961853027
1638544471.417436,1194000,3.687000036239624
1638544485.6090703,1207000,3.802000045776367
1638544513.8459582,1233000,3.696000099182129
1638544526.8705614,1245000,3.869999885559082
1638544538.7941039,1256000,3.7660000324249268
1638544542.1475387,1259000,3.75
1638544545.3177845,1262000,3.7279999256134033
1638544567.2472894,1282000,3.812999963760376
1638544573.9065115,1288000,4.004000186920166
1638544581.6401331,1295000,3.9030001163482666
1638544588.1001356,1301000,4.193999767303467
1638544605.4768064,1317000,3.688999891281128
1638544608.710811,1320000,3.74399995803833
1638544620.3901706,1331000,3.931999921798706
1638544623.5064151,1334000,4.10699987411499
1638544626.796626,1337000,3.9779999256134033
1638544627.863006,1338000,3.8310000896453857
1638544680.0134444,1386000,3.7019999027252197
1638544683.219983,1389000,3.6519999504089355
